ID,Name,StudyHours,Attendance,Marks,Grade,Result,Performance_Score
315,Student_315,8.5,67,68.9,D,Pass,70.13
317,Student_317,4.7,63,43.9,F,Pass,48.03
320,Student_320,3.3,61,73.6,C,Pass,67.02
323,Student_323,6.9,61,88.3,B,Pass,80.91
324,Student_324,3.5,56,56.2,F,Pass,54.04
326,Student_326,7.6,60,69.9,D,Pass,68.53
328,Student_328,6.5,55,43.5,F,Pass,47.95
330,Student_330,3.2,64,87.1,B,Pass,76.97
333,Student_333,1.1,60,71.0,C,Pass,62.8
334,Student_334,2.0,72,66.4,D,Pass,62.88
340,Student_340,1.9,53,75.9,C,Pass,65.63
341,Student_341,5.4,66,84.1,B,Pass,77.47
343,Student_343,2.6,62,96.0,A,Pass,82.2
346,Student_346,6.5,64,78.2,C,Pass,74.04
349,Student_349,4.4,60,64.6,D,Pass,61.62
351,Student_351,5.5,51,63.0,D,Pass,59.8
353,Student_353,6.9,63,75.3,C,Pass,72.21
354,Student_354,2.5,69,51.1,F,Pass,52.07
355,Student_355,1.6,71,61.7,D,Pass,58.99
356,Student_356,6.8,60,60.1,D,Pass,60.87
358,Student_358,6.3,52,41.5,F,Pass,45.75
359,Student_359,9.5,66,89.9,B,Pass,85.63
363,Student_363,5.1,70,96.4,A,Pass,86.58
365,Student_365,9.5,65,65.8,D,Pass,68.56
367,Student_367,9.7,69,90.5,A,Pass,86.85
368,Student_368,9.1,55,51.2,F,Pass,55.94
369,Student_369,2.8,68,88.2,B,Pass,78.14
370,Student_370,1.6,54,67.5,D,Pass,59.65
371,Student_371,1.9,52,69.0,D,Pass,60.6
372,Student_372,1.2,50,48.0,F,Pass,44.8
374,Student_374,7.1,64,83.7,B,Pass,78.49
378,Student_378,1.2,74,85.9,B,Pass,76.13
379,Student_379,8.3,73,49.5,F,Pass,57.55
380,Student_380,3.5,61,76.6,C,Pass,69.32
381,Student_381,2.1,67,48.1,F,Pass,49.17
382,Student_382,7.3,64,85.1,B,Pass,79.67
384,Student_384,8.9,65,97.4,A,Pass,90.08
386,Student_386,8.2,57,43.4,F,Pass,49.98
388,Student_388,2.6,74,55.7,F,Pass,56.39
389,Student_389,7.8,66,54.8,F,Pass,59.36
391,Student_391,9.9,57,55.0,F,Pass,59.8
392,Student_392,4.7,64,56.3,F,Pass,56.91
396,Student_396,9.4,56,43.9,F,Pass,51.33
397,Student_397,8.7,52,69.3,D,Pass,67.61
400,Student_400,7.8,73,94.4,A,Pass,88.48
402,Student_402,9.1,69,71.9,C,Pass,73.23
404,Student_404,8.4,64,60.8,D,Pass,63.76
405,Student_405,3.9,74,94.0,A,Pass,84.5
407,Student_407,4.5,63,79.8,C,Pass,72.96
408,Student_408,1.1,56,97.8,A,Pass,80.76
409,Student_409,9.1,66,73.6,C,Pass,73.82
411,Student_411,3.9,69,43.1,F,Pass,47.87
413,Student_413,9.6,58,55.6,F,Pass,60.12
416,Student_416,5.0,71,55.4,F,Pass,57.98
417,Student_417,3.6,51,79.3,C,Pass,69.31
418,Student_418,4.0,73,51.9,F,Pass,54.93
419,Student_419,7.1,57,73.9,C,Pass,70.23
420,Student_420,7.8,60,67.8,D,Pass,67.26
422,Student_422,8.1,66,76.5,C,Pass,74.85
423,Student_423,1.8,57,61.0,D,Pass,55.9
424,Student_424,5.4,70,46.8,F,Pass,52.16
425,Student_425,1.5,67,49.1,F,Pass,49.27
427,Student_427,5.0,67,55.1,F,Pass,56.97
433,Student_433,6.6,60,83.4,B,Pass,76.98
435,Student_435,1.8,74,82.5,B,Pass,74.35
439,Student_439,7.4,57,69.1,D,Pass,67.17
440,Student_440,1.7,60,49.9,F,Pass,48.63
441,Student_441,1.8,71,96.7,A,Pass,83.69
443,Student_443,4.4,73,80.1,B,Pass,75.07
445,Student_445,8.3,66,64.7,D,Pass,66.79
446,Student_446,9.5,61,79.1,C,Pass,77.07
449,Student_449,4.4,64,70.8,C,Pass,66.76
450,Student_450,1.8,65,88.4,B,Pass,76.68
451,Student_451,8.0,71,67.6,D,Pass,69.52
453,Student_453,4.8,69,87.2,B,Pass,79.64
455,Student_455,2.0,59,55.5,F,Pass,52.65
460,Student_460,2.1,51,52.3,F,Pass,48.91
464,Student_464,6.3,62,54.3,F,Pass,56.71
467,Student_467,3.6,62,86.3,B,Pass,76.41
469,Student_469,3.0,71,43.9,F,Pass,47.93
477,Student_477,1.7,64,62.8,D,Pass,58.46
483,Student_483,5.1,60,87.6,B,Pass,78.42
484,Student_484,6.6,52,74.7,C,Pass,69.29
485,Student_485,6.3,55,78.1,C,Pass,71.97
486,Student_486,9.1,58,87.9,B,Pass,82.23
487,Student_487,1.4,55,63.8,D,Pass,57.06
488,Student_488,3.5,58,94.9,A,Pass,81.53
494,Student_494,2.7,61,91.4,A,Pass,78.88
495,Student_495,5.2,57,94.4,A,Pass,82.68
496,Student_496,4.2,57,56.6,F,Pass,55.22
499,Student_499,9.8,69,52.1,F,Pass,60.07
501,Student_501,7.3,56,93.6,A,Pass,84.02
502,Student_502,5.8,60,79.3,C,Pass,73.31
503,Student_503,3.8,69,49.1,F,Pass,51.97
504,Student_504,8.3,65,66.4,D,Pass,67.78
505,Student_505,7.2,53,76.9,C,Pass,71.63
506,Student_506,2.5,55,45.0,F,Pass,45.0
507,Student_507,9.2,71,92.9,A,Pass,88.43
509,Student_509,9.5,52,70.3,C,Pass,69.11
512,Student_512,4.8,63,99.0,A,Pass,86.7
513,Student_513,9.4,60,80.1,B,Pass,77.47
514,Student_514,8.8,67,78.1,C,Pass,76.87
515,Student_515,1.4,61,50.0,F,Pass,48.6
516,Student_516,1.2,72,92.9,A,Pass,80.63
517,Student_517,4.4,61,65.6,D,Pass,62.52
518,Student_518,8.3,62,49.7,F,Pass,55.49
519,Student_519,9.9,74,40.8,F,Pass,53.26
522,Student_522,4.4,68,83.2,B,Pass,76.24
526,Student_526,5.2,57,51.2,F,Pass,52.44
531,Student_531,8.3,67,58.9,F,Pass,62.93
532,Student_532,10.0,55,68.3,D,Pass,68.81
533,Student_533,10.0,67,89.3,B,Pass,85.91
534,Student_534,6.0,68,67.6,D,Pass,66.92
535,Student_535,7.9,71,61.5,D,Pass,65.15
539,Student_539,5.1,52,50.4,F,Pass,50.78
541,Student_541,9.6,59,89.6,B,Pass,84.12
545,Student_545,6.6,64,60.9,D,Pass,62.03
547,Student_547,2.0,56,84.9,B,Pass,72.63
548,Student_548,7.0,61,79.1,C,Pass,74.57
551,Student_551,5.7,70,90.5,A,Pass,83.05
553,Student_553,6.0,73,98.7,A,Pass,89.69
554,Student_554,6.0,69,78.0,C,Pass,74.4
556,Student_556,4.6,53,80.6,B,Pass,71.62
559,Student_559,7.8,69,44.2,F,Pass,52.54
560,Student_560,6.6,73,50.5,F,Pass,56.55
569,Student_569,9.1,51,52.8,F,Pass,56.26
570,Student_570,4.1,64,42.0,F,Pass,46.3
573,Student_573,4.6,55,96.3,A,Pass,83.01
578,Student_578,9.3,61,55.6,F,Pass,60.42
579,Student_579,5.4,52,94.4,A,Pass,81.88
581,Student_581,5.1,67,73.6,C,Pass,70.02
583,Student_583,5.4,70,66.8,D,Pass,66.16
584,Student_584,4.0,64,67.6,D,Pass,64.12
588,Student_588,2.2,57,98.6,A,Pass,82.62
592,Student_592,6.8,72,84.4,B,Pass,80.28
595,Student_595,9.1,63,91.5,A,Pass,85.75
596,Student_596,5.3,63,57.5,F,Pass,58.15
597,Student_597,7.0,51,94.6,A,Pass,83.42
599,Student_599,2.7,54,88.3,B,Pass,75.31
604,Student_604,1.8,63,89.8,B,Pass,77.26
606,Student_606,5.1,74,92.4,A,Pass,84.58
607,Student_607,2.9,69,46.8,F,Pass,49.46
608,Student_608,4.3,51,82.2,B,Pass,72.04
610,Student_610,7.2,55,45.8,F,Pass,50.26
611,Student_611,1.4,66,54.5,F,Pass,52.75
614,Student_614,1.7,51,58.1,F,Pass,52.57
617,Student_617,1.5,54,58.0,F,Pass,52.9
618,Student_618,3.5,50,84.6,B,Pass,72.72
620,Student_620,7.7,61,94.2,A,Pass,85.84
623,Student_623,4.3,72,75.6,C,Pass,71.62
626,Student_626,4.3,60,44.7,F,Pass,47.59
627,Student_627,5.2,59,54.4,F,Pass,55.08
628,Student_628,7.7,52,87.7,B,Pass,79.49
629,Student_629,1.3,63,42.1,F,Pass,43.37
630,Student_630,3.3,65,75.0,C,Pass,68.8
631,Student_631,7.4,59,99.7,A,Pass,88.99
634,Student_634,5.8,61,43.8,F,Pass,48.66
637,Student_637,5.8,50,46.9,F,Pass,48.63
638,Student_638,3.2,54,45.6,F,Pass,45.92
639,Student_639,3.4,69,94.6,A,Pass,83.42
640,Student_640,4.4,57,80.2,B,Pass,71.94
642,Student_642,3.9,61,92.7,A,Pass,80.99
643,Student_643,2.9,50,74.3,C,Pass,64.91
644,Student_644,3.9,69,71.0,C,Pass,67.4
650,Student_650,5.5,61,93.6,A,Pass,83.22
657,Student_657,3.6,64,70.7,C,Pass,65.89
658,Student_658,4.3,55,46.3,F,Pass,47.71
660,Student_660,6.1,69,69.3,D,Pass,68.41
662,Student_662,9.9,63,97.0,A,Pass,90.4
663,Student_663,6.5,51,76.0,C,Pass,69.9
664,Student_664,3.1,58,84.6,B,Pass,73.92
666,Student_666,2.4,69,78.0,C,Pass,70.8
669,Student_669,2.7,50,61.7,D,Pass,55.89
671,Student_671,2.6,55,42.7,F,Pass,43.49
673,Student_673,1.7,54,56.6,F,Pass,52.12
677,Student_677,2.0,63,51.8,F,Pass,50.86
678,Student_678,4.6,61,76.6,C,Pass,70.42
680,Student_680,8.8,69,52.4,F,Pass,59.28
682,Student_682,3.3,73,40.3,F,Pass,46.11
685,Student_685,9.4,74,42.2,F,Pass,53.74
693,Student_693,5.6,72,63.8,D,Pass,64.66
696,Student_696,6.5,69,46.8,F,Pass,53.06
697,Student_697,3.6,72,60.7,D,Pass,60.49
699,Student_699,2.4,65,92.5,A,Pass,80.15
702,Student_702,1.5,57,99.6,A,Pass,82.62
704,Student_704,2.2,70,56.5,F,Pass,55.75
705,Student_705,1.6,50,63.7,D,Pass,56.19
706,Student_706,9.9,57,65.3,D,Pass,67.01
710,Student_710,7.1,54,76.5,C,Pass,71.45
712,Student_712,6.4,71,89.4,B,Pass,83.18
715,Student_715,4.1,50,40.1,F,Pass,42.17
718,Student_718,9.7,59,55.5,F,Pass,60.35
721,Student_721,9.4,67,81.2,B,Pass,79.64
722,Student_722,2.6,66,46.9,F,Pass,48.63
724,Student_724,7.7,57,67.4,D,Pass,66.28
728,Student_728,8.2,61,85.1,B,Pass,79.97
730,Student_730,2.5,57,44.8,F,Pass,45.26
731,Student_731,2.5,74,61.3,D,Pass,60.21
733,Student_733,7.0,53,80.1,B,Pass,73.67
735,Student_735,4.2,50,61.7,D,Pass,57.39
736,Student_736,8.9,68,75.6,C,Pass,75.42
738,Student_738,8.3,65,78.2,C,Pass,76.04
739,Student_739,5.0,63,94.8,A,Pass,83.96
741,Student_741,5.2,54,92.4,A,Pass,80.68
745,Student_745,3.1,51,44.0,F,Pass,44.1
747,Student_747,4.5,55,48.5,F,Pass,49.45
748,Student_748,5.9,58,40.7,F,Pass,45.99
751,Student_751,2.1,74,69.2,D,Pass,65.34
753,Student_753,6.6,62,42.6,F,Pass,48.82
754,Student_754,4.0,58,47.4,F,Pass,48.78
755,Student_755,2.3,62,73.5,C,Pass,66.15
758,Student_758,5.8,60,79.1,C,Pass,73.17
759,Student_759,9.0,53,90.7,A,Pass,83.09
763,Student_763,3.2,53,56.5,F,Pass,53.35
765,Student_765,1.3,68,87.3,B,Pass,76.01
766,Student_766,6.1,55,66.8,D,Pass,63.86
768,Student_768,8.9,67,89.3,B,Pass,84.81
769,Student_769,4.1,62,91.5,A,Pass,80.55
771,Student_771,2.0,72,65.9,D,Pass,62.53
772,Student_772,8.6,68,59.1,F,Pass,63.57
774,Student_774,4.6,60,62.3,D,Pass,60.21
775,Student_775,8.2,50,76.1,C,Pass,71.47
776,Student_776,2.3,73,82.3,B,Pass,74.51
777,Student_777,3.1,56,81.3,B,Pass,71.21
778,Student_778,7.5,74,62.5,D,Pass,66.05
779,Student_779,7.5,70,50.0,F,Pass,56.5
780,Student_780,6.8,64,65.8,D,Pass,65.66
781,Student_781,7.2,50,48.6,F,Pass,51.22
782,Student_782,5.9,61,93.4,A,Pass,83.48
783,Student_783,3.3,56,60.8,D,Pass,57.06
784,Student_784,4.1,64,49.3,F,Pass,51.41
785,Student_785,2.6,70,41.5,F,Pass,45.65
786,Student_786,9.2,68,78.7,C,Pass,77.89
788,Student_788,4.6,74,60.4,D,Pass,61.68
797,Student_797,9.4,60,67.2,D,Pass,68.44
799,Student_799,7.3,57,48.4,F,Pass,52.58
801,Student_801,7.4,63,41.7,F,Pass,49.19
802,Student_802,2.4,59,70.3,C,Pass,63.41
803,Student_803,6.2,51,97.8,A,Pass,84.86
805,Student_805,4.8,58,42.3,F,Pass,46.01
806,Student_806,7.6,52,41.9,F,Pass,47.33
807,Student_807,9.4,70,63.3,D,Pass,67.71
809,Student_809,5.1,57,41.4,F,Pass,45.48
811,Student_811,9.9,51,67.5,D,Pass,67.35
812,Student_812,8.6,55,57.4,F,Pass,59.78
816,Student_816,5.7,74,58.8,F,Pass,61.66
817,Student_817,6.3,61,93.3,A,Pass,83.81
818,Student_818,4.6,54,76.2,C,Pass,68.74
822,Student_822,1.0,64,97.7,A,Pass,82.19
825,Student_825,5.8,64,60.4,D,Pass,60.88
829,Student_829,7.6,55,72.5,C,Pass,69.35
835,Student_835,5.5,70,51.7,F,Pass,55.69
836,Student_836,4.8,72,43.5,F,Pass,49.65
838,Student_838,4.3,65,56.2,F,Pass,56.64
840,Student_840,6.7,64,73.5,C,Pass,70.95
841,Student_841,1.1,74,60.8,D,Pass,58.46
843,Student_843,2.6,60,48.4,F,Pass,48.48
845,Student_845,2.3,64,77.6,C,Pass,69.42
846,Student_846,4.7,53,69.3,D,Pass,63.81
847,Student_847,1.8,70,64.1,D,Pass,60.67
848,Student_848,10.0,62,99.6,A,Pass,92.12
849,Student_849,5.5,71,92.8,A,Pass,84.66
852,Student_852,7.7,63,77.2,C,Pass,74.34
853,Student_853,2.9,53,52.1,F,Pass,49.97
861,Student_861,8.0,57,83.3,B,Pass,77.71
862,Student_862,5.1,65,72.0,C,Pass,68.5
866,Student_866,6.0,67,47.5,F,Pass,52.65
867,Student_867,2.4,51,87.7,B,Pass,73.99
869,Student_869,8.8,62,92.6,A,Pass,86.02
870,Student_870,9.5,53,96.6,A,Pass,87.72
872,Student_872,3.4,74,67.8,D,Pass,65.66
874,Student_874,4.7,60,69.0,D,Pass,65.0
875,Student_875,1.2,56,91.8,A,Pass,76.66
878,Student_878,6.9,59,57.1,F,Pass,58.67
880,Student_880,3.0,62,85.7,B,Pass,75.39
882,Student_882,7.0,56,70.7,C,Pass,67.69
887,Student_887,6.9,69,64.5,D,Pass,65.85
888,Student_888,3.1,53,89.7,B,Pass,76.49
890,Student_890,3.2,50,74.4,C,Pass,65.28
895,Student_895,7.0,62,66.3,D,Pass,65.81
896,Student_896,2.8,71,90.8,A,Pass,80.56
897,Student_897,3.6,70,93.6,A,Pass,83.12
898,Student_898,9.1,71,43.7,F,Pass,53.89
900,Student_900,1.8,58,66.9,D,Pass,60.23
902,Student_902,1.2,58,77.6,C,Pass,67.12
903,Student_903,2.6,64,95.6,A,Pass,82.32
904,Student_904,6.2,59,41.1,F,Pass,46.77
905,Student_905,4.8,73,68.6,D,Pass,67.42
907,Student_907,8.4,57,83.4,B,Pass,78.18
908,Student_908,4.1,73,81.6,B,Pass,75.82
909,Student_909,3.3,65,48.1,F,Pass,49.97
914,Student_914,4.7,53,52.6,F,Pass,52.12
916,Student_916,4.9,73,40.5,F,Pass,47.85
920,Student_920,2.3,59,57.7,F,Pass,54.49
921,Student_921,8.8,74,40.9,F,Pass,52.23
922,Student_922,5.4,67,84.3,B,Pass,77.81
928,Student_928,5.9,54,79.5,C,Pass,72.35
935,Student_935,2.5,70,64.5,D,Pass,61.65
936,Student_936,3.5,66,64.4,D,Pass,61.78
937,Student_937,1.2,71,44.0,F,Pass,46.2
940,Student_940,6.2,64,88.5,B,Pass,80.95
943,Student_943,6.9,56,97.3,A,Pass,86.21
945,Student_945,2.9,60,58.0,F,Pass,55.5
946,Student_946,1.1,59,44.6,F,Pass,44.12
947,Student_947,2.2,58,70.0,C,Pass,62.8
948,Student_948,9.1,63,87.7,B,Pass,83.09
949,Student_949,8.9,62,82.4,B,Pass,78.98
950,Student_950,6.4,74,43.0,F,Pass,51.3
953,Student_953,2.6,56,57.7,F,Pass,54.19
954,Student_954,9.2,70,53.9,F,Pass,60.93
955,Student_955,4.8,67,56.9,F,Pass,58.03
956,Student_956,4.4,52,88.2,B,Pass,76.54
961,Student_961,1.7,60,68.6,D,Pass,61.72
963,Student_963,3.2,73,78.4,C,Pass,72.68
965,Student_965,3.6,68,76.2,C,Pass,70.54
966,Student_966,4.2,53,61.5,D,Pass,57.85
979,Student_979,5.5,52,88.2,B,Pass,77.64
980,Student_980,6.4,58,73.2,C,Pass,69.24
981,Student_981,4.0,57,71.2,C,Pass,65.24
983,Student_983,2.0,55,86.5,B,Pass,73.55
986,Student_986,5.5,53,57.1,F,Pass,56.07
989,Student_989,3.2,51,43.3,F,Pass,43.71
990,Student_990,8.4,54,84.9,B,Pass,78.63
994,Student_994,6.3,70,42.8,F,Pass,50.26
995,Student_995,4.2,57,56.6,F,Pass,55.22
997,Student_997,9.3,57,43.8,F,Pass,51.36
999,Student_999,9.6,52,40.2,F,Pass,48.14
